femaleSpecies,maleSpecies,maleID,treatment,spendingTime,maleWeight,averageFemaleWeight,femaleWeight_poMinusga,po_femalePerga_female,exclude
intermediate,poecilia,p25,acclimation,100,0.12934,0.792775,0.24765,1.370207041,0
intermediate,poecilia,p26,acclimation,43,0.13428,0.390515,0.12281,1.373157911,1
intermediate,poecilia,p27,acclimation,37,0.21031,0.547275,0.03579,1.06760739,0
intermediate,poecilia,p28,acclimation,3,0.10902,0.39429,0.13418,1.410085575,0
intermediate,poecilia,p29,acclimation,398,0.15891,0.39493,-0.04716,0.887314521,1
intermediate,poecilia,p3,acclimation,NA,0.10188,0.310435,0.05159,1.181246487,1
intermediate,poecilia,p30,acclimation,17,0.11888,0.5903,0.25384,1.547800941,0
intermediate,poecilia,p31,acclimation,93,0.14587,0.290135,-0.02703,0.91098304,0
intermediate,poecilia,p32,acclimation,143,0.17234,0.28984,-0.04466,0.856936925,0
intermediate,poecilia,p4,acclimation,NA,0.09894,0.38683,0.1774,1.595042431,1
intermediate,poecilia,p5,acclimation,322,0.16748,0.413275,0.02985,1.074934103,0
intermediate,poecilia,p6,acclimation,109,0.12966,0.629095,-0.09865,0.854588603,0
intermediate,poecilia,p7,acclimation,10,0.12336,0.250315,0.01157,1.047315258,0
intermediate,poecilia,p8,acclimation,70,0.17376,0.36829,0.12156,1.395304218,0
intermediate,poecilia,p9,acclimation,393,0.08932,0.51775,0.0699,1.144780447,0
intermediate,gambusia,g1,preference,975,0.11434,0.40975,0.0055,1.013513514,0
intermediate,gambusia,g10,preference,304,0.08593,0.31835,0.0791,1.283715925,0
intermediate,gambusia,g11,preference,306,0.10876,0.56083,0.04466,1.082934076,0
intermediate,gambusia,g12,preference,374,0.15677,0.475555,0.04247,1.093480366,0
intermediate,gambusia,g13,preference,984,0.11985,0.521085,0.16745,1.382865374,0
intermediate,gambusia,g14,preference,427,0.07959,0.529995,0.26053,1.651764941,0
intermediate,gambusia,g15,preference,123,0.11407,0.48083,0.25714,1.72997218,0
intermediate,gambusia,g16,preference,205,0.12047,0.727595,-0.00455,0.993766013,0
intermediate,gambusia,g17,preference,186,0.13706,0.334355,-0.06961,0.811436775,0
intermediate,gambusia,g18,preference,661,0.08614,0.572025,0.26781,1.611270885,0
intermediate,gambusia,g19,preference,304,0.11739,0.4618,0.0946,1.228226779,0
intermediate,gambusia,g2,preference,257,0.16997,0.408915,-0.05913,0.865147783,0
intermediate,gambusia,g20,preference,491,0.13875,0.532145,0.15731,1.346887473,0
intermediate,gambusia,g21,preference,475,0.13608,0.72998,0.08832,1.128780146,0
intermediate,gambusia,g22,preference,543,0.17655,0.700455,0.29023,1.522616775,1
intermediate,gambusia,g23,preference,872,0.13107,0.578745,0.16617,1.33524997,0
intermediate,gambusia,g24,preference,191,0.11172,0.530505,-0.07181,0.873219046,0
intermediate,gambusia,g25,preference,583,0.08275,0.492845,0.06817,1.148596216,0
intermediate,gambusia,g26,preference,130,0.10233,0.50037,0.0588,1.124848716,0
intermediate,gambusia,g27,preference,214,0.10248,0.540355,0.13891,1.29498832,1
intermediate,gambusia,g28,preference,484,0.21674,1.19472,-0.29442,0.780599584,0
intermediate,gambusia,g29,preference,531,0.13988,0.373255,-0.00347,0.99074642,0
intermediate,gambusia,g3,preference,86,0.17883,0.97299,-0.1433,0.862823556,0
intermediate,gambusia,g30,preference,188,0.0883,0.50425,0.0127,1.02550713,0
intermediate,gambusia,g4,preference,561,0.12476,0.81671,-0.28122,0.706242427,0
intermediate,gambusia,g5,preference,929,0.07666,0.712905,0.06581,1.096779412,0
intermediate,gambusia,g6,preference,710,0.1096,0.702235,-0.12885,0.831933321,0
intermediate,gambusia,g7,preference,1123,0.14287,0.60237,0.00302,1.005026129,0
intermediate,gambusia,g8,preference,652,0.12621,0.440225,-0.06347,0.865518264,0
intermediate,gambusia,g9,preference,488,0.14993,0.309085,-0.02961,0.908580073,0
intermediate,poecilia,p1,preference,147,0.20212,0.588815,0.10957,1.205175739,0
intermediate,poecilia,p10,preference,520,0.10759,0.391525,0.02711,1.071725269,0
intermediate,poecilia,p11,preference,77,0.11976,0.452745,0.24255,1.731740429,0
intermediate,poecilia,p12,preference,489,0.16862,0.49682,-0.00788,0.984263919,0
intermediate,poecilia,p13,preference,266,0.15565,0.24578,-0.0033,0.986662895,0
intermediate,poecilia,p14,preference,333,0.17434,0.322075,-0.09385,0.745663957,0
