ID,Family,Population,pophost,nathost,Trmt,hatch.date,S1.cones,S2.cones,S3.cones,death.date,eclosion.date,sex,feeding1,lifespan,Dvpt.time
169,8,Key_Largo,C.corindum,K.paniculata,Y,28-Apr,1,NA,NA,5-May,NA,NA,69,7,#VALUE!
170,42,Lake_Wales,K.elegans,K.elegans,N,25-Apr,0,0,NA,NA,30-May,F,49,#VALUE!,35
171,42,Lake_Wales,K.elegans,C.corindum,N,25-Apr,0,0,0,6-May,NA,NA,49,11,#VALUE!
172,42,Lake_Wales,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,2-May,NA,NA,73,7,#VALUE!
173,42,Lake_Wales,K.elegans,K.elegans,Y,25-Apr,1,1,NA,NA,29-May,F,49,#VALUE!,34
174,42,Lake_Wales,K.elegans,C.corindum,Y,25-Apr,4,1,2,20-Jul,NA,NA,73,86,#VALUE!
175,42,Lake_Wales,K.elegans,K.paniculata,Y,26-Apr,3,5,NA,NA,29-May,F,46,#VALUE!,33
176,59,Lake_Wales,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,49,5,#VALUE!
177,59,Lake_Wales,K.elegans,K.elegans,N,28-Apr,0,NA,NA,3-May,NA,NA,95,5,#VALUE!
178,59,Lake_Wales,K.elegans,C.corindum,N,28-Apr,0,NA,NA,2-May,NA,NA,45,4,#VALUE!
179,59,Lake_Wales,K.elegans,K.paniculata,Y,26-Apr,2,NA,NA,1-May,NA,NA,46,5,#VALUE!
180,59,Lake_Wales,K.elegans,K.elegans,Y,28-Apr,2,6,NA,NA,16-Jun,M,95,#VALUE!,49
181,59,Lake_Wales,K.elegans,C.corindum,Y,28-Apr,3,NA,NA,2-May,NA,NA,95,4,#VALUE!
182,61,Lake_Wales,K.elegans,C.corindum,N,25-Apr,0,0,0,NA,24-May,F,73,#VALUE!,29
183,61,Lake_Wales,K.elegans,K.paniculata,N,27-Apr,0,NA,NA,2-May,NA,NA,47,5,#VALUE!
184,61,Lake_Wales,K.elegans,K.elegans,N,27-Apr,0,0,NA,NA,29-May,M,51,#VALUE!,32
185,61,Lake_Wales,K.elegans,C.corindum,Y,25-Apr,2,5,4,25-Jun,NA,NA,73,61,#VALUE!
186,61,Lake_Wales,K.elegans,K.paniculata,Y,26-Apr,4,4,NA,NA,27-May,F,22,#VALUE!,31
187,61,Lake_Wales,K.elegans,K.elegans,Y,27-Apr,3,2,NA,9-May,NA,NA,51,12,#VALUE!
188,48,Lake_Wales,K.elegans,K.elegans,N,25-Apr,0,NA,NA,2-May,NA,NA,49,7,#VALUE!
189,48,Lake_Wales,K.elegans,C.corindum,N,26-Apr,0,NA,NA,1-May,NA,NA,46,5,#VALUE!
190,48,Lake_Wales,K.elegans,K.paniculata,N,26-Apr,0,NA,NA,1-May,NA,NA,46,5,#VALUE!
191,48,Lake_Wales,K.elegans,K.elegans,Y,25-Apr,5,6,NA,NA,25-Jun,M,74,#VALUE!,61
192,48,Lake_Wales,K.elegans,C.corindum,Y,25-Apr,2,6,1,12-Jun,NA,NA,74,48,#VALUE!
193,48,Lake_Wales,K.elegans,K.paniculata,Y,26-Apr,6,NA,NA,1-May,NA,NA,22,5,#VALUE!
194,78,Leesburg,K.elegans,K.elegans,N,25-Apr,0,0,NA,NA,28-May,F,76,#VALUE!,33
195,78,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,28-Apr,NA,NA,51,3,#VALUE!
196,78,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,28-Apr,NA,NA,51,3,#VALUE!
197,78,Leesburg,K.elegans,K.elegans,Y,25-Apr,2,2,NA,NA,25-May,M,76,#VALUE!,30
198,78,Leesburg,K.elegans,C.corindum,Y,25-Apr,2,NA,NA,28-Apr,NA,NA,51,3,#VALUE!
199,78,Leesburg,K.elegans,K.paniculata,Y,25-Apr,3,NA,NA,30-Apr,NA,NA,51,5,#VALUE!
200,80,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,29-Apr,NA,NA,76,4,#VALUE!
201,80,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,29-Apr,NA,NA,51,4,#VALUE!
202,80,Leesburg,K.elegans,C.corindum,N,25-Apr,0,NA,NA,29-Apr,NA,NA,51,4,#VALUE!
203,80,Leesburg,K.elegans,K.elegans,Y,25-Apr,6,3,NA,NA,1-Jun,M,76,#VALUE!,37
204,80,Leesburg,K.elegans,K.paniculata,Y,25-Apr,1,NA,NA,30-Apr,NA,NA,76,5,#VALUE!
205,80,Leesburg,K.elegans,C.corindum,Y,25-Apr,4,4,1,17-Jun,NA,NA,51,53,#VALUE!
206,73,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,76,5,#VALUE!
207,73,Leesburg,K.elegans,C.corindum,N,26-Apr,0,NA,NA,1-May,NA,NA,46,5,#VALUE!
208,73,Leesburg,K.elegans,K.elegans,N,27-Apr,0,0,NA,NA,25-May,F,47,#VALUE!,28
209,73,Leesburg,K.elegans,K.paniculata,Y,25-Apr,9,8,NA,NA,28-May,M,52,#VALUE!,33
210,73,Leesburg,K.elegans,C.corindum,Y,25-Apr,1,2,1,NA,31-May,F,28,#VALUE!,36
211,73,Leesburg,K.elegans,K.elegans,Y,28-Apr,5,4,NA,NA,1-Jun,F,95,#VALUE!,34
212,77,Leesburg,K.elegans,K.paniculata,N,25-Apr,0,NA,NA,30-Apr,NA,NA,76,5,#VALUE!
213,77,Leesburg,K.elegans,K.elegans,N,25-Apr,0,NA,NA,1-May,NA,NA,52,6,#VALUE!
214,77,Leesburg,K.elegans,C.corindum,N,26-Apr,0,NA,NA,3-May,NA,NA,46,7,#VALUE!
215,77,Leesburg,K.elegans,K.paniculata,Y,25-Apr,9,5,NA,NA,2-Jun,F,76,#VALUE!,38
216,77,Leesburg,K.elegans,K.elegans,Y,25-Apr,4,4,NA,NA,30-May,M,28,#VALUE!,35
